Time,mRNA_1,mRNA_2,mRNA_3,mRNA_4,mRNA_5,mRNA_6,mRNA_7,mRNA_8,mRNA_9,mRNA_10
4.606060606060606,3.0,3.0,3.0,6.0,4.0,4.0,4.0,5.0,3.0,5.0
4.848484848484849,0.0,2.0,2.0,5.0,2.0,6.0,4.0,2.0,4.0,3.0
5.090909090909091,2.0,3.0,4.0,4.0,5.0,7.0,2.0,1.0,2.0,3.0
5.333333333333333,4.0,0.0,5.0,6.0,3.0,5.0,1.0,2.0,2.0,5.0
5.575757575757576,2.0,2.0,6.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0
5.818181818181818,4.0,2.0,5.0,3.0,3.0,2.0,1.0,3.0,6.0,4.0
6.0606060606060606,5.0,1.0,4.0,4.0,5.0,2.0,2.0,6.0,6.0,6.0
6.303030303030303,6.0,0.0,4.0,4.0,3.0,3.0,2.0,2.0,8.0,2.0
6.545454545454546,2.0,0.0,6.0,1.0,7.0,3.0,2.0,4.0,4.0,0.0
6.787878787878788,4.0,0.0,4.0,2.0,6.0,1.0,1.0,5.0,2.0,3.0
7.03030303030303,3.0,3.0,8.0,1.0,2.0,3.0,1.0,7.0,4.0,4.0
7.2727272727272725,2.0,0.0,4.0,3.0,3.0,1.0,0.0,7.0,2.0,4.0
7.515151515151516,4.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
7.757575757575758,4.0,5.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0
8.0,4.0,7.0,2.0,6.0,1.0,4.0,3.0,3.0,4.0,4.0
8.242424242424242,5.0,8.0,5.0,2.0,4.0,5.0,2.0,3.0,5.0,4.0
8.484848484848484,4.0,4.0,4.0,5.0,3.0,5.0,2.0,5.0,3.0,3.0
8.727272727272727,3.0,3.0,4.0,3.0,1.0,6.0,0.0,3.0,3.0,3.0
8.969696969696969,3.0,1.0,8.0,7.0,1.0,4.0,2.0,2.0,2.0,3.0
9.212121212121213,3.0,2.0,5.0,8.0,2.0,6.0,3.0,2.0,1.0,2.0
9.454545454545455,0.0,3.0,4.0,5.0,4.0,7.0,1.0,0.0,4.0,4.0
9.696969696969697,4.0,4.0,3.0,4.0,4.0,6.0,1.0,1.0,9.0,5.0
9.93939393939394,4.0,2.0,2.0,4.0,3.0,6.0,3.0,3.0,2.0,4.0
10.181818181818182,4.0,0.0,6.0,3.0,5.0,6.0,4.0,2.0,1.0,3.0
10.424242424242424,3.0,3.0,3.0,0.0,4.0,5.0,2.0,0.0,2.0,3.0
10.666666666666666,3.0,1.0,3.0,0.0,4.0,2.0,1.0,3.0,6.0,3.0
10.909090909090908,2.0,1.0,4.0,2.0,4.0,7.0,3.0,4.0,3.0,5.0
11.151515151515152,5.0,4.0,3.0,1.0,4.0,5.0,6.0,5.0,3.0,4.0
11.393939393939394,3.0,2.0,3.0,3.0,4.0,6.0,5.0,7.0,5.0,5.0
11.636363636363637,2.0,1.0,4.0,3.0,5.0,4.0,2.0,7.0,3.0,4.0
11.878787878787879,3.0,1.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0
12.121212121212121,0.0,4.0,4.0,2.0,5.0,2.0,3.0,3.0,6.0,4.0
12.363636363636363,2.0,2.0,2.0,4.0,3.0,2.0,6.0,5.0,3.0,9.0
12.606060606060606,7.0,5.0,1.0,3.0,3.0,2.0,4.0,4.0,5.0,6.0
12.848484848484848,3.0,4.0,2.0,3.0,2.0,3.0,4.0,7.0,2.0,6.0
13.090909090909092,1.0,5.0,1.0,1.0,2.0,3.0,3.0,8.0,1.0,6.0
13.333333333333334,2.0,6.0,2.0,6.0,3.0,3.0,6.0,12.0,3.0,4.0
13.575757575757576,3.0,4.0,4.0,5.0,3.0,2.0,4.0,9.0,3.0,7.0
13.818181818181818,1.0,6.0,1.0,3.0,1.0,2.0,3.0,5.0,4.0,2.0
14.06060606060606,5.0,2.0,2.0,5.0,1.0,3.0,5.0,3.0,2.0,3.0
14.303030303030303,6.0,0.0,3.0,4.0,2.0,2.0,5.0,2.0,5.0,4.0
14.545454545454545,7.0,4.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0
14.787878787878787,4.0,2.0,1.0,2.0,2.0,6.0,6.0,2.0,2.0,1.0
15.030303030303031,4.0,3.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,2.0
15.272727272727273,3.0,2.0,2.0,5.0,6.0,2.0,5.0,2.0,1.0,6.0
15.515151515151516,2.0,2.0,2.0,5.0,3.0,1.0,4.0,1.0,4.0,4.0
