time_min,time_hours,S_mean,S_median,S_q25,S_q75,S_min,S_max,S_std,A_mean,A_median,A_q25,A_q75,A_min,A_max,A_std,Ap_c_mean,Ap_c_median,Ap_c_q25,Ap_c_q75,Ap_c_min,Ap_c_max,Ap_c_std,Ap_n_mean,Ap_n_median,Ap_n_q25,Ap_n_q75,Ap_n_min,Ap_n_max,Ap_n_std,r_mean,r_median,r_q25,r_q75,r_min,r_max,r_std,R_mean,R_median,R_q25,R_q75,R_min,R_max,R_std,f_mean,f_median,f_q25,f_q75,f_min,f_max,f_std,F_mean,F_median,F_q25,F_q75,F_min,F_max,F_std,a_mean,a_median,a_q25,a_q75,a_min,a_max,a_std,total_STAT1_mean,total_pSTAT1_mean
40.40080160320641,0.6733466933867736,427.0,427.0,427.0,427.0,427.0,427.0,NaN,3.0,3.0,3.0,3.0,3.0,3.0,NaN,10168.308583805725,10168.308583805725,10168.308583805725,10168.308583805725,10168.308583805725,10168.308583805725,NaN,1563.6914161942752,1563.6914161942752,1563.6914161942752,1563.6914161942752,1563.6914161942752,1563.6914161942752,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,NaN,5.0,5.0,5.0,5.0,5.0,5.0,NaN,772.0,772.0,772.0,772.0,772.0,772.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,11735.0,11732.0
43.28657314629258,0.7214428857715431,398.0,398.0,398.0,398.0,398.0,398.0,NaN,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,NaN,10092.0,10092.0,10092.0,10092.0,10092.0,10092.0,NaN,1613.0,1613.0,1613.0,1613.0,1613.0,1613.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,NaN,6.0,6.0,6.0,6.0,6.0,6.0,NaN,907.0458468047289,907.0458468047289,907.0458468047289,907.0458468047289,907.0458468047289,907.0458468047289,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,11710.0,11705.0
46.17234468937876,0.7695390781563126,381.0,381.0,381.0,381.0,381.0,381.0,NaN,1.2292289316094793,1.2292289316094793,1.2292289316094793,1.2292289316094793,1.2292289316094793,1.2292289316094793,NaN,10074.77077106839,10074.77077106839,10074.77077106839,10074.77077106839,10074.77077106839,10074.77077106839,NaN,1612.0,1612.0,1612.0,1612.0,1612.0,1612.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,1142.0,1142.0,1142.0,1142.0,1142.0,1142.0,NaN,6.0,6.0,6.0,6.0,6.0,6.0,NaN,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,11688.0,11686.77077106839
49.05811623246493,0.8176352705410822,366.0,366.0,366.0,366.0,366.0,366.0,NaN,2.571734864286104,2.571734864286104,2.571734864286104,2.571734864286104,2.571734864286104,2.571734864286104,NaN,10070.428265135713,10070.428265135713,10070.428265135713,10070.428265135713,10070.428265135713,10070.428265135713,NaN,1594.0,1594.0,1594.0,1594.0,1594.0,1594.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,1064.0,1064.0,1064.0,1064.0,1064.0,1064.0,NaN,6.0,6.0,6.0,6.0,6.0,6.0,NaN,1217.0,1217.0,1217.0,1217.0,1217.0,1217.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,11667.0,11664.428265135713
51.943887775551104,0.8657314629258517,345.0,345.0,345.0,345.0,345.0,345.0,NaN,7.976560521975581,7.976560521975581,7.976560521975581,7.976560521975581,7.976560521975581,7.976560521975581,NaN,9988.023439478025,9988.023439478025,9988.023439478025,9988.023439478025,9988.023439478025,9988.023439478025,NaN,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,NaN,7.0,7.0,7.0,7.0,7.0,7.0,NaN,1392.0,1392.0,1392.0,1392.0,1392.0,1392.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,11646.000000000002,11638.023439478025
54.829659318637276,0.9138276553106213,327.0,327.0,327.0,327.0,327.0,327.0,NaN,2.3838423753171254,2.3838423753171254,2.3838423753171254,2.3838423753171254,2.3838423753171254,2.3838423753171254,NaN,9996.616157624683,9996.616157624683,9996.616157624683,9996.616157624683,9996.616157624683,9996.616157624683,NaN,1627.0,1627.0,1627.0,1627.0,1627.0,1627.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,954.0,954.0,954.0,954.0,954.0,954.0,NaN,7.0,7.0,7.0,7.0,7.0,7.0,NaN,1528.0,1528.0,1528.0,1528.0,1528.0,1528.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,11626.0,11623.616157624683
57.71543086172345,0.9619238476953907,309.0,309.0,309.0,309.0,309.0,309.0,NaN,3.3985810327823396,3.3985810327823396,3.3985810327823396,3.3985810327823396,3.3985810327823396,3.3985810327823396,NaN,9992.601418967217,9992.601418967217,9992.601418967217,9992.601418967217,9992.601418967217,9992.601418967217,NaN,1606.0,1606.0,1606.0,1606.0,1606.0,1606.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,891.0,891.0,891.0,891.0,891.0,891.0,NaN,6.0,6.0,6.0,6.0,6.0,6.0,NaN,1677.0,1677.0,1677.0,1677.0,1677.0,1677.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,11602.0,11598.601418967217
60.60120240480962,1.0100200400801602,291.0,291.0,291.0,291.0,291.0,291.0,NaN,7.237720907407442,7.237720907407442,7.237720907407442,7.237720907407442,7.237720907407442,7.237720907407442,NaN,9998.762279092593,9998.762279092593,9998.762279092593,9998.762279092593,9998.762279092593,9998.762279092593,NaN,1573.0,1573.0,1573.0,1573.0,1573.0,1573.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,837.0,837.0,837.0,837.0,837.0,837.0,NaN,6.0,6.0,6.0,6.0,6.0,6.0,NaN,1790.0,1790.0,1790.0,1790.0,1790.0,1790.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,11579.0,11571.762279092593
63.48697394789579,1.0581162324649298,280.0,280.0,280.0,280.0,280.0,280.0,NaN,3.0,3.0,3.0,3.0,3.0,3.0,NaN,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,NaN,1544.0,1544.0,1544.0,1544.0,1544.0,1544.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,792.0,792.0,792.0,792.0,792.0,792.0,NaN,6.0,6.0,6.0,6.0,6.0,6.0,NaN,1891.3393540702477,1891.3393540702477,1891.3393540702477,1891.3393540702477,1891.3393540702477,1891.3393540702477,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,11555.0,11552.0
66.37274549098197,1.1062124248496994,266.0,266.0,266.0,266.0,266.0,266.0,NaN,5.204281111626134,5.204281111626134,5.204281111626134,5.204281111626134,5.204281111626134,5.204281111626134,NaN,9953.795718888374,9953.795718888374,9953.795718888374,9953.795718888374,9953.795718888374,9953.795718888374,NaN,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,753.0,753.0,753.0,753.0,753.0,753.0,NaN,6.0,6.0,6.0,6.0,6.0,6.0,NaN,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,11541.0,11535.795718888374
