time_min,time_hours,S_mean,A_mean,Ap_c_mean,Ap_n_mean,r_mean,R_mean,f_mean,F_mean,a_mean
282.8056112224449,4.713426853707415,0.4,214692.00220940207,20198.34922253173,3702.848568066215,7.3,69833.39698795529,52.4,69698.93943622443,14.7
285.69138276553105,4.761523046092185,0.4,217615.54646181315,19615.033235229308,3600.3,6.8,67887.02776028407,51.3,69181.86954382957,14.5
288.57715430861725,4.809619238476954,0.4,220468.08053966807,19116.533422071552,3500.6,6.0,65902.92795685116,50.4,68662.65446382327,14.9
291.4629258517034,4.857715430861724,0.4,223344.8662692267,18647.214058684705,3416.2937647314466,6.2,63897.32019414804,50.5,68185.4483187266,15.0
294.34869739478955,4.905811623246493,0.4,226212.5600500362,18235.673218683256,3319.2021627723016,6.1,62017.57491034523,49.6,67663.22477509842,15.5
297.23446893787576,4.953907815631262,0.3,229336.23574318294,17607.479875082972,3225.920124917026,6.4,60314.58108606136,49.2,67144.06592590098,15.6
300.1202404809619,5.002004008016032,0.3,232485.75103960847,16933.99744122004,3147.0,6.2,58677.89525548462,48.7,66611.30351556631,15.7
303.0060120240481,5.050100200400801,0.3,235644.247893262,16334.098245330437,3047.1051067052344,5.7,57104.31775505515,47.8,66068.10888857987,15.9
305.89178356713427,5.098196392785571,0.3,238834.9639216364,15816.397977445717,2944.3,4.9,55414.536739226794,46.2,65504.86357985132,16.2
308.7775551102204,5.1462925851703405,0.3,241903.14866365702,15359.048584940461,2866.3,4.7,53651.62077470224,45.1,64946.26403494542,16.1
311.6633266533066,5.19438877755511,0.3,244914.96500415774,14916.355316365176,2783.5116499671813,4.0,51852.70813413288,44.0,64325.2443072167,15.9
314.5490981963928,5.24248496993988,0.2,247912.54700831216,14432.284962240155,2721.915037759845,3.9,50088.84671576532,43.6,63748.27500175529,16.0
317.434869739479,5.290581162324649,0.2,251201.046721248,13733.984756943863,2629.3,4.0,48398.11818389328,42.1,63119.66779535233,16.2
320.32064128256513,5.338677354709419,0.2,254383.52896826185,13131.681399433472,2534.4186005665297,4.2,46832.100748497105,40.6,62492.27503436394,16.4
323.2064128256513,5.386773547094188,0.2,257543.91851389734,12590.523211050162,2425.8112179430427,4.0,45371.456158279565,39.5,61832.09035751668,16.2
326.0921843687375,5.434869739478958,0.2,260645.6017927605,12122.859157601542,2327.8,3.8,43921.64867054844,39.0,61161.4480371983,16.5
328.97795591182364,5.482965931863728,0.2,263719.94712327706,11682.4,2231.6,3.7,42496.70830767921,39.1,60520.485677224504,16.6
331.8637274549098,5.531062124248497,0.2,266783.98674137506,11267.817473895582,2158.278113664632,3.6,41172.398669094,38.4,59902.124522388,16.5
334.749498997996,5.579158316633267,0.2,269782.1580446198,10895.7,2075.4,3.5,39836.14576475521,38.2,59277.91934611501,16.4
337.63527054108215,5.627254509018036,0.2,272705.72421692905,10552.645863135436,1996.4973724755102,3.0,38534.46152342442,38.0,58667.01555820289,16.4
340.52104208416836,5.675350701402806,0.2,275615.3273609532,10243.05573252308,1918.9442674769205,2.8,37205.82589225584,37.2,58113.53332452914,16.2
343.4068136272545,5.7234468937875755,0.2,278414.04851420945,9961.2,1865.1,2.8,35920.633996783035,35.9,57538.72575464784,16.1
346.29258517034066,5.771543086172345,0.2,281204.7939429409,9705.078200011772,1824.821799988228,2.6,34688.24176318115,35.6,56910.754279505905,16.4
349.17835671342687,5.819639278557114,0.2,283977.63869910844,9487.279001902994,1764.220998097006,2.4,33465.21959369833,35.06337195025361,56315.89836707804,16.4
352.064128256513,5.867735470941883,0.2,286715.9320813836,9293.593872964284,1710.9381925431583,2.3,32256.670635993127,34.7,55691.14648912447,16.5
354.9498997995992,5.915831663326653,0.2,289478.1241774362,9079.224685247915,1662.2753147520857,2.2,31091.15706426622,34.4,55073.26072972603,16.7
357.8356713426854,5.963927855711423,0.2,292246.8813034802,8902.6,1611.3,2.1,29960.791940388066,33.5,54458.55619072982,16.8
360.7214428857715,6.012024048096192,0.2,294987.15531940537,8752.9,1561.2,2.1,28854.09861331689,32.9,53873.4366244829,16.8
363.60721442885773,6.060120240480962,0.2,297683.85978089646,8603.559629644666,1518.2,2.0,27803.990331240282,31.4,53248.84914890452,16.5
366.4929859719439,6.108216432865731,0.2,300361.7546150498,8474.9,1488.7,1.9,26791.82013682559,30.4,52624.794410494644,16.9
369.3787575150301,6.156312625250501,0.0,303193.4492502789,8249.866930723529,1460.5,1.6,25791.48754478807,29.3,51972.748490699196,16.9
372.26452905811624,6.2044088176352705,0.0,306621.37489501404,7437.8,1435.7,1.7,24803.6,28.6,51279.68924018236,17.2
375.1503006012024,6.25250501002004,0.0,309949.5187617155,6755.5,1370.3,2.1,23963.028841964733,28.1,50626.219617656585,17.0
378.0360721442886,6.30060120240481,0.0,313155.6113071378,6147.201214696574,1299.7987853034253,2.0,23184.21455095364,27.9,50001.0056318869,16.6
380.92184368737475,6.348697394789579,0.0,316325.6008061326,5584.6,1235.3,1.8,22398.173100859472,27.8,49367.27731702484,16.9
383.8076152304609,6.396793587174349,0.0,319376.3191638019,5091.7,1158.2,1.5,21574.540704891544,26.5,48749.944489838876,16.3
386.6933867735471,6.4448897795591185,0.0,322294.4058574982,4649.897607066581,1085.7,1.5,20801.826684587377,25.8,48083.33901792887,16.4
389.57915831663325,6.492985971943888,0.0,325183.74861786456,4259.079238983237,1002.2207610167632,1.5,20041.794798094612,25.1,47405.95199171166,16.3
392.46492985971946,6.541082164328658,0.0,327986.44603958377,3902.6,925.8,1.1,19294.169861861334,24.0,46747.18591742581,16.2
395.3507014028056,6.589178356713427,0.0,330728.7950045096,3576.906182731199,851.3938172688006,1.1,18525.3,22.5,46085.07049107217,16.1
398.23647294589176,6.637274549098197,0.0,333474.6221792535,3284.3,779.9,1.0,17791.59022527652,21.8,45380.93613014479,16.3
401.12224448897797,6.6853707414829655,0.0,336164.0533583606,3006.851971245493,721.4,0.9,17035.3,21.2,44691.80220218214,16.1
404.0080160320641,6.733466933867735,0.0,338821.2460639402,2755.3,665.0,0.9,16313.686316084397,20.4,44016.406788739725,15.9
