time_min,time_hours,S,A,Ap_c,Ap_n,r,R,f,F,a,total_STAT1,total_pSTAT1
699.0,11.65,0.00042416335740379506,62141.51884958181,17.298170424705294,3.7080434428894242,0.0001731215920244988,103.66372884741644,0.22450406451031818,5450.950919363428,0.0034352220124927112,62162.5250634494,21.006213867594717
700.0,11.666666666666666,0.0004157643603104669,62099.280678747105,16.954869112491508,3.634457463872551,0.00016800512477847885,101.62793430539782,0.22072043027582858,5398.927995689702,0.0034068598717517614,62119.87000532347,20.58932657636406
701.0,11.683333333333334,0.0004075316744341731,62057.06182099423,16.618380033872075,3.562331544578887,0.00016303986894767897,99.63195216487351,0.21700054755164208,5347.385379554241,0.0033786957986953045,62077.24253257268,20.18071157845096
702.0,11.7,0.0003994620062878101,62014.86243426629,16.28856802568928,3.4916367202068956,0.00015822135484208527,97.67500876858257,0.2133433426952165,5296.318920755971,0.003350728954463019,62034.642639012185,19.780204745896175
703.0,11.716666666666667,0.0003915521286436143,61972.68267314889,15.965300649684272,3.4223446090385887,0.00015354524791263472,95.75634557158475,0.20974776036800236,5245.724499910922,0.0033229584947619606,61992.07031840761,19.38764525872286
704.0,11.733333333333333,0.0003837988771843644,61930.522689036814,15.64844805299906,3.354427383562906,0.00014900733877409509,93.87521840903223,0.20621276274683506,5195.598028106056,0.003295383570518168,61949.52556447338,19.002875436561965
705.0,11.75,0.0003761991504021169,61888.38263013896,15.33788296399472,3.2878577695984155,0.00014460354290289764,92.03089747403507,0.20273732950016293,5145.935446888919,0.0032680033278912977,61907.00837087255,18.625740733593133
706.0,11.766666666666667,0.00036874990797772326,61846.262641559886,15.033480624671258,3.222609032009979,0.00014032989587692458,90.22266696256781,0.19932045740333987,5096.732728091634,0.003240816908637679,61864.518731216565,18.256089656681237
707.0,11.783333333333333,0.0003614481703636956,61804.16286531919,14.735118776554962,3.1586549703410363,0.00013618255203718963,88.44982498321768,0.19596116024453947,5047.985873798776,0.0032138234497701154,61822.05663906608,17.893773746896
708.0,11.8,0.00035429101716557627,61762.083440432696,14.442677592753391,3.0959699048742437,0.00013215777977330088,86.71168320218065,0.1926584684399503,4999.690916168266,0.003187022083963819,61779.62208793033,17.538647497627636
709.0,11.816666666666666,0.00034727558511037326,61720.02450301331,14.156039593626161,3.034528659088664,0.00012825195577406427,85.00756639593844,0.18941142854771278,4951.843917184577,0.003160411939916162,61737.21507126602,17.190568252714826
710.0,11.833333333333334,0.0003403990679757156,61677.986186274735,13.875089643659223,2.9743065590378475,0.0001244615648149886,83.336812435782,0.18621910325102997,4904.440968651789,0.0031339921423897315,61694.83558247743,16.849396202697072
711.0,11.85,0.0003336587145623854,61635.968620632884,13.59971486778645,2.915279415379431,0.0001207831941008081,81.69877184063728,0.18308057086991705,4857.478191936101,0.0031077618125548434,61652.48361491605,16.51499428316588
712.0,11.866666666666667,0.00032705182924238924,61593.97193367755,13.329804676564335,2.8574235275800843,0.00011721353462321723,80.09280789965698,0.179994925498859,4810.951738058471,0.003081720067568675,61610.1591618817,16.187228204144418
713.0,11.883333333333333,0.0003205757692560609,61551.996250307486,13.065250653077825,2.8007156606551624,0.00011374937377932104,78.51829607443764,0.17696127635172765,4764.857787331178,0.00305586602120346,61567.862216621215,15.865966313732988
714.0,11.9,0.00031422794380940816,61510.041692775165,12.805946515556306,2.7451330373672977,0.00011038759294044541,76.97462379904972,0.1739787475424874,4719.192549231542,0.003030198783998346,61525.592772328084,15.551079552923603
715.0,11.916666666666666,0.00030800581374583415,61468.10838070351,12.551788103437818,2.6906533353439284,0.00010712516655984728,75.46119040738822,0.17104647800512648,4673.952262357226,0.0030047174633750806,61483.350822142296,15.242441438781746
716.0,11.933333333333334,0.0003019068897406575,61426.196431175755,12.302673303776125,2.637254670897209,0.00010395915735224058,73.97740673277768,0.16816362105327973,4629.133194166678,0.002979421163824437,61441.13635915043,14.939927974673333
717.0,11.95,0.00029592873276871473,61384.30595871168,12.058502071927322,2.584915602798205,0.00010088671740564227,72.5226952130003,0.1653293444987636,4584.731641067207,0.0029543089866484735,61398.94937638641,14.643417674725526
718.0,11.966666666666667,0.00029006895137857975,61342.43707540359,11.81917631774176,2.533615108799446,9.790508111517167e-5,71.09648928371764,0.1625428299803284,4540.743927992991,0.0029293800305715523,61356.78986683013,14.352791426541206
719.0,11.983333333333333,0.0002843252013940154,61300.589890931165,11.584599893257923,2.4833325830514545,9.501156441974185e-5,69.69823331193112,0.1598032728899806,4497.1664083571795,0.002904633391783044,61314.65782340748,14.067932476309378
720.0,12.0,0.0002786951851942878,61258.764512597845,11.354678562439966,2.4340478297641357,9.220356295105754e-5,68.32738243564205,0.1571098821946947,4453.995463938037,0.0028800681641510534,61272.553238990055,13.788726392204103
721.0,12.016666666666667,0.000273176650577245,61216.961045386866,11.129319956147997,2.3857410527719742,8.947854911629943e-5,66.983402310511,0.15446188015627824,4411.227504697466,0.002855683439159816,61230.476106395785,13.515061008919972
722.0,12.033333333333333,0.0002677673905212457,61175.1795919732,10.90843356224722,2.3383928534298324,8.683407142737874e-5,65.66576905741218,0.15185850227420045,4368.858968754089,0.0028314783059680414,61188.42641838888,13.246826415677052
723.0,12.05,0.0002624652410471262,61133.42025283018,10.691930636657798,2.2919842121698735,8.426774923621152e-5,64.3739687838837,0.14929899675086697,4326.886322006626,0.0028074518518496554,61146.40416767901,12.983914848827672
724.0,12.066666666666666,0.00025726808119364675,61091.68312623068,10.479724202299503,2.2464964882879563,8.17772726700602e-5,63.10749757867311,0.1467826244855861,4285.306058130392,0.00278360316220467,61104.40934692127,12.726220690587459
725.0,12.083333333333334,0.00025217383173143585,61049.9683083118,10.271728995634755,2.2019114085927947,7.936039951274286e-5,61.86586122332059,0.1443086587506166,4244.1146983416575,0.002759931320849369,61062.44194871603,12.473640404227549
726.0,12.1,0.0002471804551757585,61008.27589307344,10.06786146936112,2.1582110670136045,7.701495514727589e-5,60.648575195910794,0.14187638519802767,4203.308791416087,0.0027364354097206413,61020.501965609816,12.226072536374724
727.0,12.116666666666667,0.0002422859543129752,60966.605972452104,9.868039730643522,2.1153779119210525,7.473882903466424e-5,59.45516434017446,0.13948510148722768,4162.8849134104885,0.002713114509262587,60978.58939009467,11.983417642564575
728.0,12.133333333333333,0.00023748837105575332,60924.95863637789,9.672183493625178,2.073394736242102,7.252997203381083e-5,58.28516260783864,0.13713411699414785,4122.839667435665,0.002689967698644601,60936.70421460775,11.74557822986728
729.0,12.15,0.00023278578634972912,60883.33397277935,9.480214075391135,2.0322446766411106,7.038639617642108e-5,57.13811303768189,0.1348227527875818,4083.1696836392557,0.00266699405580859,60894.84643153138,11.512458752032245
730.0,12.166666666666666,0.0002281763187531656,60841.73206765458,9.29205433753926,1.9919112008934168,6.830617138465375e-5,56.013567435429984,0.13255034126642995,4043.871618914828,0.0026441926577071132,60853.01603319301,11.283965538432678
731.0,12.183333333333334,0.0002236581248661952,60800.15300504923,9.107628705504883,1.9523781112702723,6.628742636420567e-5,54.91108647146869,0.13031622627314118,4004.9421570101454,0.002621562580010301,60811.213011866006,11.060006816775156
732.0,12.2,0.00021922939736060678,60758.5968671551,8.926863086172807,1.913629527586976,6.432834415909545e-5,53.83023923576858,0.1281197625869456,3966.3780081028385,0.0025991028975945237,60769.43735976886,10.840492613759782
733.0,12.216666666666667,0.0002148883645029536,60717.063734333875,8.749684848151439,1.8756498830810182,6.2427161089612e-5,52.77060313001759,0.12596031580085976,3928.175908694676,0.002576812684626032,60727.68906906511,10.625334731232456
734.0,12.233333333333333,0.00021063328985013074,60675.55368513264,8.576022808894061,1.838423921736741,6.058216606996321e-5,51.73176379879342,0.12383726224297832,3890.332621545041,0.0025546910146693725,60685.968131863265,10.414446730630802
735.0,12.25,0.0002064624710885456,60634.0667963417,8.405807187664676,1.8019366878270884,5.879169803848639e-5,50.71331486680588,0.12174998867624505,3852.8449354095515,0.0025327369607822166,60644.27454021719,10.207743875491765
736.0,12.266666666666667,0.00020237424025218526,60592.60314298346,8.238969615233184,1.7661735276605046,5.705414637104969e-5,49.71485798894902,0.11969789235763058,3815.709665105469,0.002510949595385475,60602.60828612636,10.005143142893688
737.0,12.283333333333333,0.00019836696189118287,60551.16279840409,8.075443057475567,1.7311200738054782,5.536794695557441e-5,48.73600243451361,0.11768038055961352,3778.923651071289,0.0024893279906943074,60560.96936153537,9.806563131281045
738.0,12.3,0.00019443903293766215,60509.745834280126,7.915161809858803,1.696762243929466,5.373158190887906e-5,47.77636505668729,0.11569687053501866,3742.4837593334482,0.0024678712187364373,60519.357758333914,9.611924053788268
739.0,12.316666666666666,0.00019058888209890897,60468.3523206493,7.7580614719708025,1.6630862354495193,5.214357828604007e-5,46.835570154659926,0.11374678935772065,3706.3868813579115,0.0024465783515389776,60477.77346835672,9.421147707420321
740.0,12.333333333333334,0.00018681496925003425,60426.98232594028,7.604078924015171,1.6300785198617467,5.060250678470637e-5,45.91324933566301,0.11182957376416403,3670.629933902353,0.002425448461017443,60436.21648338415,9.234157443876917
741.0,12.35,0.0001831157850554016,60385.63591699189,7.453152310816966,1.5977258394692377,4.910698092142054e-5,45.009041429139806,0.1099446700547656,3635.2098589291536,0.0024044806191076034,60394.686795142174,9.050878150286204
742.0,12.366666666666667,0.00017948984964007505,60344.313159119396,7.305220986658768,1.5660151959215016,4.765565432943475e-5,44.12259218368839,0.10809153374130924,3600.123623249883,0.002383673898040026,60353.18439530198,8.87123618258027
743.0,12.383333333333333,0.00017593571258270563,60303.01411611501,7.160225514920281,1.5349338501512144,4.624722074014757e-5,43.253554265479096,0.10626962954518286,3565.368218524559,0.002363027370353232,60311.70927548008,8.695159365071495
744.0,12.4,0.0001724519519450578,60261.73885029671,7.018107627868554,1.5044693137947744,4.488041203725606e-5,42.401587036525086,0.1044784311382354,3530.94066099384,0.002342540109107814,60270.26142723837,8.522576941663328
745.0,12.416666666666666,0.00016903717443046487,60220.487422499784,6.878810234666943,1.474609350237815,4.355399851639485e-5,41.56635659149002,0.10271742118783452,3496.837991538969,0.002322211187653077,60228.84084208469,8.353419584904758
746.0,12.433333333333334,0.0001656900141780512,60179.25989213749,6.7422773708805135,1.4453419642472063,4.226678651136575e-5,40.747535481824734,0.10098609103332316,3463.0572753380216,0.002302039679952323,60187.447511472616,8.187619335127719
747.0,12.45,0.00016240913212726683,60138.056317232724,6.608454172136209,1.416655396484293,4.101761716339427e-5,39.94480257015823,0.09928394051476673,3429.595601678651,0.002282024660706974,60146.08142680134,8.025109568620502
748.0,12.466666666666667,0.00015919321591478507,60096.876754423385,6.477286869710036,1.3885381226006739,3.980536621809543e-5,39.157843006713264,0.09761047794522115,3396.450083928796,0.002262165205403952,60104.742579415695,7.86582499231071
749.0,12.483333333333333,0.00015604097890365676,60055.721259011094,6.348722750753574,1.3609788445811934,3.862894216700798e-5,38.386348006674815,0.09596521984801326,3363.6178592438428,0.0022424603904656016,60063.43096060643,7.709701595334768
750.0,12.5,0.00015295116047746703,60014.58988494613,6.222710171404493,1.3339664930942965,3.7487286755883824e-5,37.630014918198874,0.09434769103895486,3331.096088672543,0.0022229092930612445,60022.14656161063,7.556676664498789
751.0,12.516666666666667,0.00014992252464523658,59973.48268489748,6.099198498488056,1.3074902154908268,3.637937238287677e-5,36.88854690176252,0.092757424245764,3298.881956715768,0.0022035109914624305,59980.889373611455,7.406688713978882
752.0,12.533333333333333,0.00014695385979734217,59932.39971026506,5.978138099436871,1.281539373694365,3.530420164916004e-5,36.1616528740061,0.09119396004127556,3266.972671247419,0.0021842645650848222,59939.6593877382,7.2596774731312355
753.0,12.55,0.00014404397843371583,59891.34101119363,5.859480330829502,1.2561035418117603,3.42608068560415e-5,35.44904744523667,0.08965684676901324,3235.3654634272484,0.0021651690945843466,59898.45659506627,7.115583872641262
754.0,12.566666666666666,0.00014119171644235857,59850.306636608715,5.743177509404465,1.231172499591623,3.324824868048951e-5,34.75045075341707,0.08814564034557924,3204.0575874655538,0.0021462236618841183,59857.280986617705,6.974350008996088
755.0,12.583333333333334,0.00013839593315098037,59809.29663421401,5.6291829144621754,1.2067362328064422,3.226561623659454e-5,34.06558847637353,0.08665990427640795,3173.046320651963,0.0021274273501319884,59816.13255336128,6.835919147268617
756.0,12.6,0.00013565551012187927,59768.311050551936,5.5174507376504325,1.1827849228720801,3.131202493991498e-5,33.39419155369124,0.08519920932188867,3142.328962936833,0.0021087792439841687,59775.01128621246,6.700235660522512
757.0,12.616666666666667,0.00013296935110450266,59727.34993100594,5.407936081012075,1.1593089464371407,3.0386616423897183e-5,32.73599617576154,0.08376313348421249,3111.902836914626,0.0020902784296122565,59733.91717603339,6.567245027449215
758.0,12.633333333333333,0.00013033638149969142,59686.41331982777,5.300594934621312,1.1362988706635548,2.948855760317371e-5,32.09074366004409,0.08235126185820393,3081.765287633215,0.002071923994854011,59692.85021363305,6.436893805284867
759.0,12.65,0.00012775554814930536,59645.50126014762,5.195384169044779,1.1137454511247178,2.861704028613115e-5,31.458180402675143,0.08096318657398431,3051.9136825262613,0.002053715029087318,59651.810389767794,6.309129620169497
760.0,12.666666666666666,0.00012522581883900018,59604.61379399927,5.092261514442465,1.091639627525803,2.7771280309360517e-5,30.838057763555415,0.07959850665837155,3022.3454112354434,0.002035650623384073,59610.79769514124,6.183901141968268
761.0,12.683333333333334,0.00012274618153309953,59563.75096235852,4.9911855288247695,1.0699725171056447,2.695051625030955e-5,30.230131889108865,0.07825682781958727,2993.0578853191682,0.0020177298706668023,59569.81212040445,6.061158045930414
762.0,12.7,0.00012031564435605154,59522.912805144166,4.892115597220213,1.0487354144738106,2.6154009393570442e-5,29.634163708012373,0.0769377624421418,2964.048538246583,0.0019999518657246324,59528.85365615586,5.940851011694024
763.0,12.716666666666667,0.0001179332348860153,59482.09936125374,4.795011902514857,1.0279197853555588,2.5381042559184475e-5,29.049918767399493,0.07564092938704937,2935.3148251215976,0.0019823157053574614,59487.92229294161,5.822931687870416
764.0,12.733333333333333,0.00011559800033221777,59441.31066855428,4.699835433728367,1.0075172679181932,2.4630920361183302e-5,28.477167274331467,0.07436595404398719,2906.8542227671023,0.0019648204882067887,59447.01802125593,5.707352701646561
765.0,12.75,0.00011330900660773978,59400.54676392906,4.60654794722138,0.9875196648038557,2.39029677011772e-5,27.91568388047002,0.0731124680674628,2878.6642293502873,0.0019474653150035304,59406.14083154109,5.594067612025236
766.0,12.766666666666667,0.00011106533798298847,59359.807683295105,4.5151119523522185,0.9679189401390622,2.3196529213370896e-5,27.365247601528527,0.0718801092778402,2850.742364239084,0.0019302492886330562,59365.29071418759,5.48303089249128
767.0,12.783333333333333,0.00010886609698235297,59319.09346160847,4.425490707080716,0.9487072186280694,2.251096909731729e-5,26.825641793264673,0.0706685216318557,2823.0861679601717,0.0019131715141791122,59324.46765953418,5.374197925708785
768.0,12.8,0.00010671040373674392,59278.404132896896,4.337648191571548,0.9298767797580116,2.18456700908118e-5,26.29665400087309,0.06947735503705316,2795.6932019260325,0.001896231099004324,59283.671657868224,5.267524971329559
769.0,12.816666666666666,0.0001045973961618705,59237.73973025065,4.2515491161001675,0.9114200592303039,2.120003372316671e-5,25.77807600073805,0.06830626540461271,2768.561048524024,0.0018794271526411412,59242.902699425984,5.162969175330471
770.0,12.833333333333334,0.0001025262289935797,59197.10028587124,4.16715888078694,0.8933296406663626,2.0573478828137823e-5,25.269703575624273,0.06715491437047853,2741.687310690509,0.0018627587870313335,59202.160774392694,5.060488521453302
771.0,12.85,0.00010049607366809834,59156.48583107744,4.0844435706629625,0.8755982545729074,1.996544136177539e-5,24.771336486744254,0.06602296926061867,2715.0696118568026,0.001846225116544207,59161.445872902674,4.96004182523587
772.0,12.866666666666667,9.850611808634162e-5,59115.89639631744,4.00336994575406,0.8582187762682041,1.9375374041956642e-5,24.28277841879007,0.06491010302264576,2688.7055958437013,0.0018298252580569627,59120.75798503946,4.861588722022264
773.0,12.883333333333333,9.655556618573199e-5,59075.33201119015,3.9239054240813864,0.8411842219640503,1.88027456959481e-5,23.80383688005067,0.0638159941016532,2662.592926668448,0.0018135583309360534,59080.097100836196,4.765089646045436
774.0,12.9,9.464363789021222e-5,59034.7927044479,3.846018079638235,0.8244877483118276,1.8247041170029862e-5,23.334323190930693,0.06274032642661763,2636.7292885302472,0.0017974234570479655,59039.46321027585,4.670505827950063
775.0,12.916666666666666,9.276956833399811e-5,58994.278504035545,3.7696766100961403,0.8081226457170674,1.770776019235914e-5,22.874052302409876,0.06168278918246251,2611.1123854374996,0.0017814197609296967,58998.85630329135,4.577799255813208
776.0,12.933333333333334,9.093260784882333e-5,58953.78943709118,3.6948503362690546,0.7920823382288029,1.718441735364659e-5,22.422842793064444,0.06064307680634982,2585.7399412020554,0.0017655463697926622,58958.27636976568,4.486932674497858
777.0,12.95,8.913202152916975e-5,58913.32552996834,3.62150918404368,0.7763603797090436,1.667654148033306e-5,21.980516767339207,0.05962088885939001,2560.6096992251328,0.0017498024136307975,58917.723399532086,4.397869563752724
778.0,12.966666666666667,8.736708920316129e-5,58872.886808237134,3.549623683973588,0.7609504533917189,1.618367557534746e-5,21.546899848884085,0.05861593001919521,2535.7194224925342,0.0017341870251088914,58877.1973823745,4.310574137365307
779.0,12.983333333333333,8.563710495557553e-5,58832.47329670858,3.479164951281918,0.7458463677843311,1.5705376138738333e-5,21.12182106881261,0.057627909938587525,2511.066893335453,0.0017186993396974318,58836.69830802765,4.225011319066249
