time_min,time_hours,IRF1_mRNA_sim1,IRF1_protein_sim1
305.89178356713427,5.098196392785571,109.0,93812.39180333797
308.7775551102204,5.1462925851703405,110.0,94162.0
311.6633266533066,5.19438877755511,111.0,94673.0
314.5490981963928,5.24248496993988,110.0,95187.0
317.434869739479,5.290581162324649,107.0,95564.52022206382
320.32064128256513,5.338677354709419,109.0,95976.0
323.2064128256513,5.386773547094188,110.0,96378.0
326.0921843687375,5.434869739478958,110.0,96870.0
328.97795591182364,5.482965931863728,104.0,97087.0
331.8637274549098,5.531062124248497,101.0,97214.0
334.749498997996,5.579158316633267,96.0,97243.0
337.63527054108215,5.627254509018036,97.0,97156.0
340.52104208416836,5.675350701402806,96.0,97130.0
343.4068136272545,5.7234468937875755,100.0,97125.0
346.29258517034066,5.771543086172345,102.0,97307.0
349.17835671342687,5.819639278557114,100.0,97429.0
